timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715207.77183,btc-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715208.112363,btc-updown-15m-1767715200,DOWN,0.51,0.5,0.505,-0.010000000000000009
1767715209.451052,btc-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715209.451325,btc-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715210.7880871,btc-updown-15m-1767715200,DOWN,0.5,0.49,0.495,-0.010000000000000009
1767715210.791397,btc-updown-15m-1767715200,UP,0.51,0.5,0.505,-0.010000000000000009
1767715212.138058,btc-updown-15m-1767715200,UP,0.52,0.51,0.515,-0.010000000000000009
1767715212.138529,btc-updown-15m-1767715200,DOWN,0.49,0.48,0.485,-0.010000000000000009
1767715213.528654,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715213.528695,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715214.860325,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715214.8606179,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715216.1872709,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715216.209599,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715217.558149,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715217.558325,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715219.032042,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715219.032432,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715220.386855,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715220.387381,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715221.7406652,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
